RecordNo,Label
1,ham
2,info
3,ham
4,info
5,info
6,ham
7,ham
8,info
9,spam
10,info
11,info
12,ham
13,info
14,spam
15,info
16,info
17,ham
18,ham
19,info
20,ham
21,info
22,spam
23,ham
24,ham
25,ham
26,spam
27,spam
28,ham
29,info
30,spam
31,info
32,info
33,ham
34,spam
35,ham
36,spam
37,ham
38,spam
39,spam
40,ham
41,spam
42,spam
43,ham
44,info
45,info
46,ham
47,info
48,info
49,spam
50,info
51,ham
52,info
53,ham
54,ham
55,ham
56,ham
57,info
58,spam
59,ham
60,info
61,info
62,info
63,info
64,spam
65,ham
66,ham
67,spam
68,ham
69,ham
70,ham
71,ham
72,info
73,ham
74,ham
75,info
76,spam
77,ham
78,info
79,spam
80,spam
81,info
82,ham
83,spam
84,info
85,ham
86,info
87,ham
88,spam
89,spam
90,ham
91,spam
92,ham
93,info
94,ham
95,spam
96,info
97,ham
98,ham
99,ham
100,spam
101,info
102,info
103,ham
104,ham
105,ham
106,spam
107,info
108,spam
109,spam
110,spam
111,ham
112,info
113,ham
114,spam
115,ham
116,spam
117,spam
118,ham
119,info
120,info
121,info
122,info
123,ham
124,info
125,info
126,ham
127,info
128,info
129,info
130,spam
131,ham
132,spam
133,ham
134,info
135,info
136,info
137,info
138,spam
139,spam
140,info
141,info
142,spam
143,ham
144,info
145,ham
146,ham
147,ham
148,ham
149,info
150,info
151,info
152,spam
153,info
154,ham
155,ham
156,info
157,spam
158,spam
159,info
160,info
161,spam
162,info
163,info
164,info
165,info
166,spam
167,info
168,ham
169,spam
170,spam
171,info
172,info
173,info
174,info
175,info
176,ham
177,info
178,info
179,ham
180,info
181,info
182,spam
183,ham
184,ham
185,spam
186,spam
187,ham
188,ham
189,spam
190,info
191,info
192,ham
193,ham
194,info
195,spam
196,info
197,info
198,info
199,spam
200,info
201,spam
202,ham
203,spam
204,ham
205,info
206,info
207,ham
208,info
209,info
210,spam
211,info
212,info
213,info
214,spam
215,ham
216,info
217,spam
218,spam
219,ham
220,spam
221,ham
222,info
223,info
224,ham
225,ham
226,info
227,info
228,info
229,ham
230,ham
231,spam
232,info
233,info
234,ham
235,info
236,info
237,ham
238,ham
239,spam
240,ham
241,spam
242,info
243,spam
244,spam
245,ham
246,ham
247,info
248,info
249,info
250,info
251,ham
252,ham
253,info
254,info
255,info
256,ham
257,info
258,spam
259,info
260,ham
261,spam
262,spam
263,spam
264,spam
265,info
266,info
267,spam
268,spam
269,info
270,ham
271,spam
272,spam
273,ham
274,spam
275,ham
276,info
277,info
278,spam
279,ham
280,info
281,info
282,spam
283,info
284,info
285,ham
286,info
287,info
288,info
289,ham
290,info
291,ham
292,ham
293,info
294,spam
295,ham
296,info
297,ham
298,ham
299,info
300,ham
301,ham
302,spam
303,spam
304,ham
305,info
306,info
307,info
308,ham
309,ham
310,info
311,spam
312,info
313,info
314,ham
315,info
316,ham
317,spam
318,ham
319,info
320,spam
321,info
322,spam
323,info
324,info
325,ham
326,spam
327,spam
328,info
329,ham
330,spam
331,info
332,info
333,info
334,ham
335,ham
336,ham
337,spam
338,ham
339,ham
340,info
341,info
342,info
343,info
344,ham
345,spam
346,info
347,spam
348,spam
349,spam
350,ham
351,ham
352,spam
353,spam
354,info
355,ham
356,ham
357,ham
358,info
359,ham
360,spam
361,spam
362,ham
363,info
364,spam
365,info
366,ham
367,info
368,info
369,ham
370,info
371,ham
372,ham
373,ham
374,spam
375,info
376,ham
377,spam
378,info
379,spam
380,spam
381,info
382,spam
383,ham
384,ham
385,info
386,info
387,ham
388,info
